"AGS_ID","Uniq_ident","Data_src","Rep_order","DH_name","Sample_nme","Smpl_int_t","Smpl_int_b","Sample_nte","Cert_date","Sample_dt","Lab_name","Prep_code","Prep_desc","L_dtct_lim","QAQC_desc","Methd_code","Methd_desc","Methd_dgsn","AcdIns_pct","Ag_ozt","Ag_pct","Ag_ppm","Al_Ka1_KeV","Al_OL_pct","Al_pct","Al_ppm","Al2O3_pct","As_pct","As_ppm","Au_g","Au_mg","Au_oz","Au_ozt","Au_pct","Au_ppm","Au_ug","B_ppm","Ba_La1_KeV","Ba_pct","Ba_ppm","BaO_pct","BaO_ppm","Be_ppm","Bi_pct","Bi_ppm","Br_ppm","C_pct","Ca_Ka1_KeV","Ca_Mg_KeV","Ca_OL_pct","Ca_pct","Ca_ppm","CaCO3_pct","CaKa1MgKa1","CaO_pct","Carnal_pct","CaSO4_pct","Cd_pct","Cd_ppm","Ce_pct","Ce_ppm","CeO2_ppm","Cl_pct","Cl_ppm","Co_pct","Co_ppm","Co3O4_pct","CoO_ppm","Cr_pct","Cr_ppm","Cr2O3_pct","Cs_ppm","Cu_pct","Cu_ppm","CuO_pct","CuO_ppm","Dy_pct","Dy_ppm","Dy2O3_ppm","Er_pct","Er_ppm","Er2O3_ppm","Eu_pct","Eu_ppm","Eu2O3_ppm","F_ppm","Fe_Ka1_KeV","Fe_OL_pct","Fe_pct","Fe_ppm","Fe2O3_pct","Ga_pct","Ga_ppm","Gd_pct","Gd_ppm","Gd2O3_ppm","Ge_ppm","Hf_pct","Hf_ppm","Hg_ppm","Ho_pct","Ho_ppm","Ho2O3_ppm","I_ppm","In_ppm","Insols_pct","Ir_ppm","K_Ka1_KeV","K_Mg_M_rat","K_pct","K_ppm","K2O_pct","K2O_ppm","KCl_Ca_pct","KCl_pct","KCl_Sy_pct","La_pct","La_ppm","La2O3_ppm","Li_ppm","LOI_pct","Lu_pct","Lu_ppm","Lu2O3_ppm","Mg_Ka1_KeV","Mg_pct","Mg_ppm","MgCl2_pct","MgCO3_pct","MgO_pct","MgOCaO_pct","Mn_Ka1_KeV","Mn_pct","Mn_ppm","MnO_pct","MnO_ppm","Mo_pct","Mo_ppm","Moistr_pct","MoO2_ppm","Na_pct","Na_ppm","Na2O_pct","Na2O_ppm","Nb_pct","Nb_ppm","Nd_pct","Nd_ppm","Nd2O3_ppm","Ni_pct","Ni_ppm","NiO_pct","NiO_ppm","Os_ppm","Oxides_pct","P_Ka1_KeV","P_pct","P_ppm","P2O5_pct","P2O5_ppm","Pb_pct","Pb_ppm","Pb204_ppm","Pb206_ppm","Pb207_ppm","Pb208_ppm","Pd_mg","Pd_ozt","Pd_pct","Pd_ppm","Pd_ug","Pr_pct","Pr_ppm","Pr6O11_ppm","Pt_mg","Pt_ozt","Pt_ppm","Pt_ug","Rb_pct","Rb_ppm","Rb2O_ppm","Re_ppm","Rh_mg","Rh_ozt","Rh_ppm","Ru_ppm","S_Ka1_KeV","S_pct","S_ppm","Sb_pct","Sb_ppm","Sc_pct","Sc_ppm","Se_pct","Se_ppm","Si_Ka1_KeV","Si_pct","Si_ppm","SiO2_pct","Sm_pct","Sm_ppm","Sm2O3_ppm","Sn_pct","Sn_ppm","SO3_pct","SO4_pct","SpcGrv_rat","Sr_pct","Sr_ppm","SrCO3_ppm","SrO_pct","SrO_ppm","Ta_ppm","Tb_pct","Tb_ppm","Tb4O7_ppm","Te_pct","Te_ppm","Th_pct","Th_ppm","Ti_pct","Ti_ppm","TiO2_pct","TiO2_ppm","Tl_ppm","Tm_pct","Tm_ppm","Tm2O3_ppm","U_pct","U_ppm","U3O8_ppm","V_pct","V_ppm","V2O5_pct","W_pct","W_ppm","Y_pct","Y_ppm","Y2O3_ppm","Yb_pct","Yb_ppm","Yb2O3_ppm","Zn_pct","Zn_ppm","ZnO_pct","ZnO_ppm","Zr_pct","Zr_ppm","ZrO2_pct","ZrO2_ppm","Compiler","Publisher"
"67448","MAR_20020002-00021-5746-ICP-0.5ppm-2001-11-29-Bondar-Clegg & Company Ltd.-N/A-N/A-","MAR_20020002","21","200110-129","5746","146.01","147.01","-9999","2001-11-29","2001-10-01","Bondar-Clegg & Company Ltd.","BOND-UNSP","Unspecified","0.5ppm","Submitted sample","ICP","-9999","-9999","-9999","-9999","-9999","<0.5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","Purple Rock Inc.","Alberta Geological Survey"
"67791","MAR_20020002-00022-5747-ICP-1.0ppm-2001-11-29-Bondar-Clegg & Company Ltd.-N/A-N/A-","MAR_20020002","22","200110-129","5747","147.01","147.6","-9999","2001-11-29","2001-10-01","Bondar-Clegg & Company Ltd.","BOND-UNSP","Unspecified","1.0ppm","Submitted sample","ICP","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","<1.0","-9999","-9999","-9999","-9999","-9999","-9999","21","-9999","-9999","-9999","-9999","-9999","-9999","-9999","16","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","35","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","244","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","Purple Rock Inc.","Alberta Geological Survey"
"67792","MAR_20020002-00022-5747-ICP-5.0ppm-2001-11-29-Bondar-Clegg & Company Ltd.-N/A-N/A-","MAR_20020002","22","200110-129","5747","147.01","147.6","-9999","2001-11-29","2001-10-01","Bondar-Clegg & Company Ltd.","BOND-UNSP","Unspecified","5.0ppm","Submitted sample","ICP","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","<5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","1340","-9999","-9999","-9999","-9999","<5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","27","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","2310","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","11","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","<5","-9999","12","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","<5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","20","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","80","-9999","-9999","Purple Rock Inc.","Alberta Geological Survey"
"67793","MAR_20020002-00022-5747-ICP-25.0ppm-2001-11-29-Bondar-Clegg & Company Ltd.-N/A-N/A-","MAR_20020002","22","200110-129","5747","147.01","147.6","-9999","2001-11-29","2001-10-01","Bondar-Clegg & Company Ltd.","BOND-UNSP","Unspecified","25.0ppm","Submitted sample","ICP","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","<25","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","Purple Rock Inc.","Alberta Geological Survey"
"67794","MAR_20020002-00022-5747-ICP-20.0ppm-2001-11-29-Bondar-Clegg & Company Ltd.-N/A-N/A-","MAR_20020002","22","200110-129","5747","147.01","147.6","-9999","2001-11-29","2001-10-01","Bondar-Clegg & Company Ltd.","BOND-UNSP","Unspecified","20.0ppm","Submitted sample","ICP","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","<20","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","<20","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","Purple Rock Inc.","Alberta Geological Survey"
"67795","MAR_20020002-00022-5747-ICP-2.0ppm-2001-11-29-Bondar-Clegg & Company Ltd.-N/A-N/A-","MAR_20020002","22","200110-129","5747","147.01","147.6","-9999","2001-11-29","2001-10-01","Bondar-Clegg & Company Ltd.","BOND-UNSP","Unspecified","2.0ppm","Submitted sample","ICP","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","65","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","46","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","2","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","90","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","75","-9999","-9999","-9999","-9999","-9999","-9999","Purple Rock Inc.","Alberta Geological Survey"
"67796","MAR_20020002-00022-5747-ICP-10.0ppm-2001-11-29-Bondar-Clegg & Company Ltd.-N/A-N/A-","MAR_20020002","22","200110-129","5747","147.01","147.6","-9999","2001-11-29","2001-10-01","Bondar-Clegg & Company Ltd.","BOND-UNSP","Unspecified","10.0ppm","Submitted sample","ICP","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","<10","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","Purple Rock Inc.","Alberta Geological Survey"
"67797","MAR_20020002-00022-5747-ICP-0.5ppm-2001-11-29-Bondar-Clegg & Company Ltd.-N/A-N/A-","MAR_20020002","22","200110-129","5747","147.01","147.6","-9999","2001-11-29","2001-10-01","Bondar-Clegg & Company Ltd.","BOND-UNSP","Unspecified","0.5ppm","Submitted sample","ICP","-9999","-9999","-9999","-9999","-9999","<0.5","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","Purple Rock Inc.","Alberta Geological Survey"
"67798","MAR_20020002-00022-5747-ICP-0.01pct-2001-11-29-Bondar-Clegg & Company Ltd.-N/A-N/A-","MAR_20020002","22","200110-129","5747","147.01","147.6","-9999","2001-11-29","2001-10-01","Bondar-Clegg & Company Ltd.","BOND-UNSP","Unspecified","0.01pct","Submitted sample","ICP","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","7.44","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","4.49","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","8.26","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","2.51","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","1.84","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","0.12","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","0.34","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","Purple Rock Inc.","Alberta Geological Survey"
"67799","MAR_20020002-00022-5747-ICP-0.002pct-2001-11-29-Bondar-Clegg & Company Ltd.-N/A-N/A-","MAR_20020002","22","200110-129","5747","147.01","147.6","-9999","2001-11-29","2001-10-01","Bondar-Clegg & Company Ltd.","BOND-UNSP","Unspecified","0.002pct","Submitted sample","ICP","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","2.328","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","Purple Rock Inc.","Alberta Geological Survey"
